CHEMBL ID,AlogP,Smiles,Standard Value,Standard Units
CHEMBL78049,1.74,C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],9400,nM
CHEMBL78206,3.23,CC(C)(C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,1300,nM
CHEMBL3678947,5.41,CC(C)n1c(Nc2cccc(Br)c2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,5,nM
CHEMBL2047244,4.5,CC(C)c1ccccc1Nc1nc(N)nc2c1-c1ccccc1C2,200000,nM
CHEMBL2047247,4.03,Nc1nc2c(c(Nc3ccc(Cl)cc3)n1)-c1ccccc1C2,26000,nM
CHEMBL3647967,4.65,C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,20.6,nM
CHEMBL3353410,4.51,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,480000,nM
CHEMBL3353407,5.16,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,2000,nM
CHEMBL3353407,5.16,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,58000,nM
CHEMBL29197,4.15,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,230,nM
CHEMBL598520,7.36,CCCCCCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,316,nM
CHEMBL600381,8.92,CCCCCCCCCCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,464,nM
